country,country_code,bronze_count
Belgium,BEL,6
Italy,ITA,28
Australia,AUS,45
Great Britain,GBR,80
United States,USA,95
Korea,KOR,23
Tunisia,TUN,1
"Hong Kong, China",HKG,2
France,FRA,39
Hungary,HUN,10
Kazakhstan,KAZ,4
Japan,JPN,24
Spain,ESP,36
Mongolia,MGL,0
Sweden,SWE,4
Germany,GER,38
Canada,CAN,14
Poland,POL,11
Egypt,EGY,1
Brazil,BRA,35
Republic of Moldova,MDA,3
Uzbekistan,UZB,3
Kosovo,KOS,1
China,CHN,40
India,IND,21
Slovakia,SVK,1
South Africa,RSA,14
Ukraine,UKR,4
Azerbaijan,AZE,3
Croatia,CRO,3
Switzerland,SUI,7
Romania,ROU,2
Ireland,IRL,4
Georgia,GEO,1
Tajikistan,TJK,3
Slovenia,SLO,0
Mexico,MEX,4
Guatemala,GUA,1
Argentina,ARG,16
Greece,GRE,8
Austria,AUT,3
Netherlands,NED,26
New Zealand,NZL,7
Ecuador,ECU,2
Israel,ISR,1
Portugal,POR,1
Uganda,UGA,0
Ethiopia,ETH,0
AIN,AIN,1
Philippines,PHI,2
Norway,NOR,4
Grenada,GRN,2
Jamaica,JAM,2
Saint Lucia,LCA,0
Dominica,DMA,0
Chinese Taipei,TPE,5
Lithuania,LTU,5
Armenia,ARM,1
Algeria,ALG,1
Indonesia,INA,1
Dominican Republic,DOM,2
Cabo Verde,CPV,1
Cuba,CUB,6
DPR Korea,PRK,4
Chile,CHI,0
Serbia,SRB,12
Colombia,COL,1
Kenya,KEN,5
Denmark,DEN,20
Thailand,THA,2
Malaysia,MAS,3
Bahrain,BRN,1
IR Iran,IRI,3
Kyrgyzstan,KGZ,4
Türkiye,TUR,7
Morocco,MAR,19
Zambia,ZAM,1
Cyprus,CYP,0
Peru,PER,1
Botswana,BOT,0
Pakistan,PAK,0
Bulgaria,BUL,3
EOR,EOR,1
Jordan,JOR,0
Czechia,CZE,5
Singapore,SGP,1
Qatar,QAT,1
Puerto Rico,PUR,2
Panama,PAN,0
Côte d'Ivoire,CIV,1
Albania,ALB,2
Fiji,FIJ,0
