Country,Participation_Percentage
United States,5.57
France,5.41
Australia,4.27
Germany,4.11
Japan,3.88
Spain,3.61
China,3.58
Italy,3.57
Great Britain,3.09
Canada,2.99
Netherlands,2.61
Brazil,2.61
Poland,2.03
New Zealand,1.87
Hungary,1.59
Belgium,1.59
Egypt,1.41
Korea,1.32
Argentina,1.29
Ireland,1.29
South Africa,1.27
Ukraine,1.27
Switzerland,1.23
Denmark,1.18
Sweden,1.12
Serbia,1.03
India,1.01
Czechia,1.0
Norway,0.98
Mexico,0.97
Türkiye,0.91
Greece,0.9
Romania,0.86
Slovenia,0.85
Israel,0.8
Colombia,0.79
Uzbekistan,0.79
Nigeria,0.77
Austria,0.76
Kazakhstan,0.71
Portugal,0.67
Kenya,0.67
Croatia,0.66
Jamaica,0.58
Morocco,0.55
Cuba,0.55
Chinese Taipei,0.54
Dominican Republic,0.53
Finland,0.51
Thailand,0.47
Puerto Rico,0.46
Lithuania,0.46
Azerbaijan,0.43
Chile,0.43
Algeria,0.41
Bulgaria,0.41
IR Iran,0.37
Ecuador,0.36
EOR,0.33
Fiji,0.32
"Hong Kong, China",0.31
Ethiopia,0.3
AIN,0.29
Mongolia,0.29
Venezuela,0.28
Zambia,0.28
Paraguay,0.26
Indonesia,0.26
Latvia,0.26
Georgia,0.25
Slovakia,0.25
Uruguay,0.24
Malaysia,0.23
Peru,0.23
Tunisia,0.23
Republic of Moldova,0.23
Estonia,0.22
Samoa,0.22
Mali,0.22
Angola,0.22
Guinea,0.22
Uganda,0.22
Singapore,0.21
Iraq,0.21
Philippines,0.2
Bahamas,0.17
Montenegro,0.17
Trinidad and Tobago,0.15
Vietnam,0.14
Kyrgyzstan,0.14
Guatemala,0.14
South Sudan,0.13
Botswana,0.13
Bahrain,0.13
Armenia,0.13
DPR Korea,0.13
Tajikistan,0.13
Cyprus,0.13
Luxembourg,0.12
Côte d'Ivoire,0.12
UA Emirates,0.12
Qatar,0.12
Jordan,0.11
Mauritius,0.11
Senegal,0.1
Eritrea,0.1
Kosovo,0.08
Kuwait,0.08
Ghana,0.08
Lebanon,0.08
Burkina Faso,0.07
Panama,0.07
Bermuda,0.07
Saudi Arabia,0.07
Liberia,0.07
Albania,0.07
El Salvador,0.07
Palestine,0.07
Guam,0.07
Rwanda,0.06
Djibouti,0.06
Gambia,0.06
Pakistan,0.06
Zimbabwe,0.06
Nicaragua,0.06
Nepal,0.06
Cabo Verde,0.06
Tanzania,0.06
Madagascar,0.06
Burundi,0.06
Haiti,0.06
Niger,0.06
Papua New Guinea,0.06
Mozambique,0.06
Sri Lanka,0.05
DR Congo,0.05
Grenada,0.05
Syria,0.05
Cameroon,0.05
Libya,0.05
Aruba,0.05
Turkmenistan,0.05
Monaco,0.05
Vanuatu,0.05
Guinea-Bissau,0.05
Costa Rica,0.05
North Macedonia,0.05
Afghanistan,0.05
Cayman Islands,0.04
Barbados,0.04
"Virgin Islands, B",0.04
Comoros,0.04
Namibia,0.04
Bolivia,0.04
Timor-Leste,0.04
StVincent&Grenadines,0.04
Centr Afric Re,0.04
Lao PDR,0.04
Yemen,0.04
Oman,0.04
Dominica,0.04
Sierra Leone,0.04
Tonga,0.04
Honduras,0.04
Maldives,0.04
Sudan,0.04
Gabon,0.04
Marshall Islands,0.04
Bangladesh,0.04
Bosnia & Herzegovina,0.04
Iceland,0.04
Togo,0.04
Antigua and Barbuda,0.04
Suriname,0.04
Benin,0.04
San Marino,0.04
Malta,0.04
Guyana,0.04
"Virgin Islands, US",0.04
Congo,0.04
Saint Lucia,0.04
Sao Tome & Principe,0.03
Brunei Darussalam,0.03
Bhutan,0.03
Eswatini,0.03
Malawi,0.03
St Kitts and Nevis,0.03
Cambodia,0.03
Kiribati,0.03
Micronesia,0.03
Chad,0.03
Seychelles,0.03
Equatorial Guinea,0.03
Palau,0.03
Lesotho,0.03
American Samoa,0.02
Andorra,0.02
Solomon Islands,0.02
Myanmar,0.02
Cook Islands,0.02
Tuvalu,0.02
Mauritania,0.02
Nauru,0.01
Liechtenstein,0.01
Somalia,0.01
Belize,0.01
