Country,Code,Total Medals,Gold,Silver,Bronze
AIN,AIN,6,1,4,1
Albania,ALB,2,0,0,2
Algeria,ALG,3,2,0,1
Argentina,ARG,19,1,2,16
Armenia,ARM,4,0,3,1
Australia,AUS,123,33,45,45
Austria,AUT,6,3,0,3
Azerbaijan,AZE,7,2,2,3
Bahrain,BRN,4,2,1,1
Belgium,BEL,10,3,1,6
Botswana,BOT,7,1,6,0
Brazil,BRA,67,4,28,35
Bulgaria,BUL,7,3,1,3
Cabo Verde,CPV,1,0,0,1
Canada,CAN,57,14,29,14
Chile,CHI,2,1,1,0
Chinese Taipei,TPE,8,3,0,5
Colombia,COL,4,0,3,1
Croatia,CRO,20,3,14,3
Cuba,CUB,9,2,1,6
Cyprus,CYP,1,0,1,0
Czechia,CZE,9,4,0,5
Côte d'Ivoire,CIV,1,0,0,1
Democratic People's Republic of Korea,PRK,8,0,4,4
Denmark,DEN,42,17,5,20
Dominica,DMA,1,1,0,0
Dominican Republic,DOM,3,1,0,2
Ecuador,ECU,6,1,3,2
Egypt,EGY,3,1,1,1
Ethiopia,ETH,4,1,3,0
Fiji,FIJ,14,0,14,0
France,FRA,187,53,95,39
Georgia,GEO,7,3,3,1
Germany,GER,113,25,50,38
Great Britain,GBR,162,40,42,80
Greece,GRE,10,1,1,8
Grenada,GRN,2,0,0,2
Guatemala,GUA,2,1,0,1
"Hong Kong, China",HKG,4,2,0,2
Hungary,HUN,31,9,12,10
India,IND,22,0,1,21
Indonesia,INA,3,2,0,1
Ireland,IRL,9,5,0,4
Islamic Republic of Iran,IRI,12,3,6,3
Israel,ISR,11,1,9,1
Italy,ITA,88,31,29,28
Jamaica,JAM,6,1,3,2
Japan,JPN,82,27,31,24
Jordan,JOR,1,0,1,0
Kazakhstan,KAZ,8,1,3,4
Kenya,KEN,11,4,2,5
Kosovo,KOS,2,0,1,1
Kyrgyzstan,KGZ,6,0,2,4
Lithuania,LTU,7,0,2,5
Malaysia,MAS,3,0,0,3
Mexico,MEX,8,0,4,4
Mongolia,MGL,1,0,1,0
Morocco,MAR,20,1,0,19
Netherlands,NED,118,67,25,26
New Zealand,NZL,51,26,18,7
Norway,NOR,23,18,1,4
Pakistan,PAK,1,1,0,0
Panama,PAN,1,0,1,0
People's Republic of China,CHN,168,71,57,40
Peru,PER,1,0,0,1
Philippines,PHI,4,2,0,2
Poland,POL,28,1,16,11
Portugal,POR,5,2,2,1
Puerto Rico,PUR,2,0,0,2
Qatar,QAT,1,0,0,1
Refugee Olympic Team,EOR,1,0,0,1
Republic of Korea,KOR,58,21,14,23
Republic of Moldova,MDA,4,0,1,3
Romania,ROU,21,12,7,2
Saint Lucia,LCA,2,1,1,0
Serbia,SRB,29,16,1,12
Singapore,SGP,1,0,0,1
Slovakia,SVK,1,0,0,1
Slovenia,SLO,3,2,1,0
South Africa,RSA,22,1,7,14
Spain,ESP,83,40,7,36
Sweden,SWE,16,5,7,4
Switzerland,SUI,10,1,2,7
Tajikistan,TJK,3,0,0,3
Thailand,THA,6,1,3,2
Tunisia,TUN,3,1,1,1
Türkiye,TUR,11,0,4,7
Uganda,UGA,2,1,1,0
Ukraine,UKR,16,6,6,4
United States of America,USA,330,134,101,95
Uzbekistan,UZB,13,8,2,3
Zambia,ZAM,1,0,0,1
